 1          0.00134670
 2          0.00014384
 3          0.00033263
 4          0.00076323
 5          0.00075458
 6          0.00070914
 7          0.00073204
 8          0.00074068
 9          0.00074356
10          0.00072010
11          0.00074611
12          0.00177700
13          0.00658239
14          0.00660196
15          0.00664276
16          0.00656446
17          0.00640104
18          0.00643355
19          0.00645422
20          0.00638450
21          0.00637778
22          0.00639184
23          0.05379630
24          0.05395381
25          0.05320652
26          0.05515934
27          0.05255653
28          0.05206292
29          0.05640222
30          0.05785103
31          1.01464678
32          0.97281027
33          1.00396939
34         86.87955429
35         97.67545035
36         90.85748812
37         99.20296457
38          1.43022228
39          0.00287726
40          0.00068599
41          0.00019963
42          0.00020301
43          0.00021861
44          0.00022938
45          0.00056243
46          0.00057586
47          0.00055930
48          0.00056911
