 1          1.00616309
 2          0.39820004
 3          0.14658641
 4          0.08592850
 5          0.08344930
 6          0.08099847
 7          0.08126365
 8          0.08267689
 9          0.08294260
10          0.08090348
11          0.08093999
12          0.05006367
13          0.03757109
14          0.03172298
15          0.04038155
16          0.03589377
17          0.03681474
18          0.03822660
19          0.03993938
20          0.03834227
21          0.03736568
22          0.03851563
23          0.04237798
24          0.04610804
25          0.06486417
26          0.04667978
27          0.05262734
28          0.05984802
29          0.05215749
30          0.04785892
31          0.00000000
32          0.00000000
33          0.00000000
34          0.00000000
35          0.00000000
36          0.00000000
37          0.00000000
38       7739.98100111
39          1.61021196
40          0.75447189
41          0.47605705
42          0.47538004
43          0.20252530
44          0.19669089
45          0.09388715
46          0.09221896
47          0.09402251
48          0.09333813
